"Date","Temp-High","Temp-Avg","Temp-Low","Dew-Point-High","Dew-Point-Avg","Dew-Point-Low","Humidity-High","Humidity-Avg","Humidity-Low","Speed-High","Speed-Avg","Speed-Low","Pressure-High","Pressure-Low","Precip.-Accum.-Sum"
"4/12/2023","7.6","7.2","6.7","4.8","4.3","4.0","85","82","80","4.7","0.9","0.0","1,014.22","1,012.87","0.51"
"4/13/2023","16.0","9.1","4.8","6.2","3.7","1.8","88","70","43","9.7","1.8","0.0","1,017.95","1,012.87","0.51"
"4/14/2023","21.6","9.2","0.7","5.9","1.4","-2.2","95","65","24","7.2","0.4","0.0","1,019.64","1,015.24","0.00"
"4/15/2023","14.8","8.1","2.2","7.7","3.5","-0.2","88","75","37","5.5","0.3","0.0","1,020.32","1,013.21","3.56"
"4/16/2023","13.6","10.3","8.8","9.1","7.1","5.9","88","81","71","4.7","0.4","0.0","1,026.75","1,019.98","0.51"
"4/17/2023","14.8","10.9","6.8","8.4","6.2","1.8","94","74","47","4.3","0.1","0.0","1,028.11","1,026.08","0.25"
"4/18/2023","18.6","10.8","4.0","7.9","4.7","1.6","86","67","44","6.1","0.3","0.0","1,029.12","1,026.08","3.30"
"4/19/2023","22.8","13.3","7.7","7.4","2.9","-3.7","85","54","18","6.1","0.4","0.0","1,028.78","1,023.03","0.00"
"4/20/2023","14.3","8.6","3.9","6.6","2.4","-1.8","92","66","41","5.0","0.2","0.0","1,023.71","1,017.27","3.56"
"4/21/2023","25.1","11.8","4.5","10.8","7.5","3.4","95","78","36","21.2","0.8","0.0","1,018.63","1,012.87","26.42"
"4/22/2023","24.8","14.9","8.3","11.3","8.8","6.2","94","71","34","20.6","3.2","0.0","1,014.22","1,011.85","1.78"
"4/23/2023","21.5","14.6","11.3","11.8","9.6","5.4","94","75","37","22.7","5.6","0.0","1,014.56","1,008.13","4.32"
"4/24/2023","14.9","11.4","8.8","8.5","6.2","3.3","86","71","50","31.4","8.8","0.0","1,014.90","1,007.79","1.02"
"4/25/2023","12.8","9.3","4.1","6.6","2.6","-1.7","92","65","39","15.8","3.5","0.0","1,021.33","1,013.55","1.78"
"4/26/2023","16.8","8.4","-1.3","2.4","-0.4","-2.4","94","59","29","13.4","1.7","0.0","1,023.37","1,020.66","0.00"
"4/27/2023","20.4","12.0","3.0","4.8","1.3","-0.9","81","51","27","12.6","2.7","0.0","1,023.71","1,019.64","0.00"
"4/28/2023","20.9","13.3","9.3","15.5","9.9","3.6","94","80","58","14.0","2.6","0.0","1,019.98","1,014.22","3.81"
"4/29/2023","17.1","13.1","10.9","11.2","8.7","7.1","96","76","56","14.3","2.7","0.0","1,025.06","1,016.59","0.00"
"4/30/2023","22.9","15.1","10.2","7.6","5.5","3.3","79","56","30","18.3","5.3","0.0","1,026.08","1,021.33","0.00"
"5/1/2023","24.4","15.7","10.3","8.2","5.6","4.2","68","52","30","14.3","4.3","0.0","1,022.01","1,017.27","0.00"
"5/2/2023","20.4","14.0","9.0","9.7","6.2","2.2","84","61","40","15.1","4.3","0.0","1,031.16","1,021.00","0.00"
"5/3/2023","21.2","12.6","5.3","4.4","2.2","0.3","72","51","30","15.8","4.7","0.0","1,031.49","1,026.75","0.00"
"5/4/2023","27.1","16.3","8.2","7.5","5.0","2.6","69","50","25","15.1","4.9","0.0","1,027.09","1,019.30","0.00"
